Movie_Title,Storyline,storyline_word_count,clean_storyline
Almost Popular,"Close friends face a challenge when one announces marriage, leading to plans to disrupt the wedding.",16,close friends face a challenge when one announces marriage leading to plans to disrupt the wedding
Tempting,"Amy Winehouse, an English singer-songwriter known for her distinct vocals and musical blend, rose to fame but battled substance abuse and mental health struggles. she passed away in 2011 at age 27, leaving a powerful musical legacy.",37,amy winehouse an english singer songwriter known for her distinct vocals and musical blend rose to fame but battled substance abuse and mental health struggles she passed away in at age leaving a powerful musical legacy
God & Country,"Fired from her teaching job at a Catholic school, a transgender woman contemplates suicide until she meets a young girl with two fathers, and they have a profound impact on each other's lives.",33,fired from her teaching job at a catholic school a transgender woman contemplates suicide until she meets a young girl with two fathers and they have a profound impact on each other s lives
Riders,"Explores the complex relationships and personal struggles of three ambitious lawyers as they navigate their way through love, betrayal, and ambition.",21,explores the complex relationships and personal struggles of three ambitious lawyers as they navigate their way through love betrayal and ambition
The Quiet Son,"A Lovecraftian horror with jump-scare and gore elements, which will keep the audience to the edge of their seats with bated breath: it explores the uncertainty and absurdity of life unfolding a dark reality.",34,a lovecraftian horror with jump scare and gore elements which will keep the audience to the edge of their seats with bated breath it explores the uncertainty and absurdity of life unfolding a dark reality
Dharmarakshak Mahaveer Chhatrapati Sambhaji Maharaj,"Peter Joseph explorers the fundamental incompatibility of our economy and the culture it has created with our future survival as a species, while posing solutions based on system's science/cybernetics. This film will be released in 2026.",36,peter joseph explorers the fundamental incompatibility of our economy and the culture it has created with our future survival as a species while posing solutions based on system s science cybernetics this film will be released in
Model House,Three girls are abducted and taken to a remote island. They're held captive by three brothers raised in isolation by their grandmother. The girls are forced to become the brothers' mates and desperately attempt to escape their captors.,38,three girls are abducted and taken to a remote island they re held captive by three brothers raised in isolation by their grandmother the girls are forced to become the brothers mates and desperately attempt to escape their captors
Love at 39 Degrees,A guardian ghost saving a girl from all the dangers surrounding her.,12,a guardian ghost saving a girl from all the dangers surrounding her
Anyone But Her,"In pursuit of a fairytale romance with the man of her dreams, Layla must race through New York City to get her hands on the hottest ticket in town: the sold out Pentatonix Christmas Eve Concert.",36,in pursuit of a fairytale romance with the man of her dreams layla must race through new york city to get her hands on the hottest ticket in town the sold out pentatonix christmas eve concert
Amy Winehouse,Three young women's week at the beach turns into a transhumanist mystery romp in one Estonian summer.,17,three young women s week at the beach turns into a transhumanist mystery romp in one estonian summer
Regarding Us,"Kolya Gerasimov is an ordinary guy: video games, rap and hanging out with friends. The last thing he worries about is the future. Until one day he himself enters the future. And not everything is easy there.",37,kolya gerasimov is an ordinary guy video games rap and hanging out with friends the last thing he worries about is the future until one day he himself enters the future and not everything is easy there
Guilty Pleasure,An influencer comes across a VIP party invite not meant for her and dives headfirst into the side of the industry where secrets are worth killing for.,27,an influencer comes across a vip party invite not meant for her and dives headfirst into the side of the industry where secrets are worth killing for
Burning Butterflies,"Nakrob, a young real estate swindler, discovers an abandoned hillside hotel by the beach. Seeing an opportunity, he decides to turn it into a luxury hotel scam.",27,nakrob a young real estate swindler discovers an abandoned hillside hotel by the beach seeing an opportunity he decides to turn it into a luxury hotel scam
Zeitgeist: Requiem,"Morgan, a hipster rapper otherwise known as Razzlekhan and Forbes contributor, and her husband Lichtenstein were arrested after being accused of conspiring to launder nearly 120,000 Bitcoin.",27,morgan a hipster rapper otherwise known as razzlekhan and forbes contributor and her husband lichtenstein were arrested after being accused of conspiring to launder nearly bitcoin
The Getaway,"Yucha from a village threatened by typhoons in 1958 ventures into the mountains, confronting the grieving spirit Oyo, whose sorrow has caused catastrophic floods for centuries, returning a sacred water-filled bowl to Oyo's drowning spot.",35,yucha from a village threatened by typhoons in ventures into the mountains confronting the grieving spirit oyo whose sorrow has caused catastrophic floods for centuries returning a sacred water filled bowl to oyo s drowning spot
Guardian,"Teenage Peri's arranged marriage faces troubles. To resolve issues, she revisits family archives from when relatives recorded memories in 2000s Sulaimani after her mother's early death.",26,teenage peri s arranged marriage faces troubles to resolve issues she revisits family archives from when relatives recorded memories in s sulaimani after her mother s early death
Meet Me Next Christmas,A group of high school friends party at an abandoned home once owned by a cult leader. Their night of teenage rebellion spirals into a deadly fight for survival.,29,a group of high school friends party at an abandoned home once owned by a cult leader their night of teenage rebellion spirals into a deadly fight for survival
Infinite Summer,"Struggling writer Vivi takes in mysterious roommate Ro, but soon suspects Ro is hiding a dark secret.",17,struggling writer vivi takes in mysterious roommate ro but soon suspects ro is hiding a dark secret
Guest from the Future,"A struggling single father battles poverty, using his musical talents to support and inspire his son. Together, they persevere through hardship, fueled by the father's dream of a better life.",30,a struggling single father battles poverty using his musical talents to support and inspire his son together they persevere through hardship fueled by the father s dream of a better life
Deadly Invitations,"A masked maniac targets cast members at a suburban Halloween haunt attraction, turning their staged injuries into gruesome real-life horrors. As the terror escalates, the lines between performance and reality blur.",31,a masked maniac targets cast members at a suburban halloween haunt attraction turning their staged injuries into gruesome real life horrors as the terror escalates the lines between performance and reality blur
404 Run Run,"Amar and Prem, along with their families, gather in Punjab for their wedding, which is disrupted by cultural differences and a jealous woman.",23,amar and prem along with their families gather in punjab for their wedding which is disrupted by cultural differences and a jealous woman
Biggest Heist Ever,Tells about the journey of a priest who doubts his faith and has to be involved in exorcising a demon on a teenager.,23,tells about the journey of a priest who doubts his faith and has to be involved in exorcising a demon on a teenager
River Returns,A city woman's life falls apart just before she turns 30 so she heads to the outback on a quest to spend her 30th with her best friend in tiny opal mining town Andamooka.,34,a city woman s life falls apart just before she turns so she heads to the outback on a quest to spend her th with her best friend in tiny opal mining town andamooka
Kifn,"A panda travels from China to Africa, facing hippos, hyenas, gorillas. He rescues his kidnapped dragon friend, makes new friends, and protects their jungle home.",25,a panda travels from china to africa facing hippos hyenas gorillas he rescues his kidnapped dragon friend makes new friends and protects their jungle home
Texas Cult House,"Hamid joins a secret group tracking Syrian war criminals on the run. His mission takes him to Strasbourg, pursuing his former torturer for a fateful confrontation.",26,hamid joins a secret group tracking syrian war criminals on the run his mission takes him to strasbourg pursuing his former torturer for a fateful confrontation
El Roomie,"Starting from trade competition in the market, people use supernatural things and perform black magic to bring down their rivals.",20,starting from trade competition in the market people use supernatural things and perform black magic to bring down their rivals
Purna Bahadur Ko Sarangi,An unemployed young man named Aalparambil Gopi is compelled to embark on a journey away from his home. This unplanned trip ultimately changes the course of his life in a remarkable way.,32,an unemployed young man named aalparambil gopi is compelled to embark on a journey away from his home this unplanned trip ultimately changes the course of his life in a remarkable way
Haunt Season,"Lulu ends up in the hospital, and sees a girl crying for help. When Lulu awakes, the girl is gone. But from here everything changes in Lulu's life. It's like someone or something is following her.",36,lulu ends up in the hospital and sees a girl crying for help when lulu awakes the girl is gone but from here everything changes in lulu s life it s like someone or something is following her
Amar Prem Ki Prem Kahani,"11-year-old Alfonso, heir of Don Quixote, and his 3 imaginary and musical rabbits join Pancho and Victoria, to save their beloved town of La Mancha from a huge storm.",29,year old alfonso heir of don quixote and his imaginary and musical rabbits join pancho and victoria to save their beloved town of la mancha from a huge storm
Dominion of Darkness,"Hong Kong police officer Ah Shan goes undercover in prison to gain the trust of criminal Tian, in order to seek evidence against his gang. After their release from jail, Shan helps Tian rise within the gang and become the new boss. However, just as Shan successfully cracks down on the gang, he uncovers a shocking secret about Tian.",59,hong kong police officer ah shan goes undercover in prison to gain the trust of criminal tian in order to seek evidence against his gang after their release from jail shan helps tian rise within the gang and become the new boss however just as shan successfully cracks down on the gang he uncovers a shocking secret about tian
Andamooka,An easy heist quickly goes wrong for three stuck-up kids who think they have found the perfect target in an old man from the neighborhood.,25,an easy heist quickly goes wrong for three stuck up kids who think they have found the perfect target in an old man from the neighborhood
Panda Bear in Africa,"Twin sisters Janet and Anet,separated by fate,inherit their mystic grandmother's powers.Forced to switch lives,they must adapt to each other's worlds,guided by visions, as they discover if they control their destinies or are bound by fate.",35,twin sisters janet and anet separated by fate inherit their mystic grandmother s powers forced to switch lives they must adapt to each other s worlds guided by visions as they discover if they control their destinies or are bound by fate
Ghost Trail,"The complicated love story of a man and a woman, whose pasts make it harder for them to love one another.",21,the complicated love story of a man and a woman whose pasts make it harder for them to love one another
Curse of the Seven Oceans,"An aspiring actress chosen as a wild card for a reality TV dating show uses a secret elixir to win the heart of the star, but when her deception is revealed, she discovers a messy but real chance for love.",40,an aspiring actress chosen as a wild card for a reality tv dating show uses a secret elixir to win the heart of the star but when her deception is revealed she discovers a messy but real chance for love
Malayalee from India,"Unable to marry his lover Keriman due to poverty, Onur becomes the neighborhood headman after his uncle is paralyzed. Despite locals' disapproval, Onur and his friends strive to retain the position.",31,unable to marry his lover keriman due to poverty onur becomes the neighborhood headman after his uncle is paralyzed despite locals disapproval onur and his friends strive to retain the position
Paranoia,"In a world where vampire blood is harvested as a drug, two desperate teenagers on the run from a vicious dealer break into an empty house and find a sleeping girl locked inside.",33,in a world where vampire blood is harvested as a drug two desperate teenagers on the run from a vicious dealer break into an empty house and find a sleeping girl locked inside
Storm Crashers,"Follows real-life happenings of Magne Havnaa, Norway's first cruiserweight boxing champion in 1990 by defeating American Richard Pultz. His brother Erling was a top-ranked kickboxer who later participated in Norway's largest robbery.",32,follows real life happenings of magne havnaa norway s first cruiserweight boxing champion in by defeating american richard pultz his brother erling was a top ranked kickboxer who later participated in norway s largest robbery
The Grey Men,A wealthy young man is kidnapped by a mysterious organization and forced to participate in extreme underground bare-knuckle fights that can only end in one way: with a contestant's death.,30,a wealthy young man is kidnapped by a mysterious organization and forced to participate in extreme underground bare knuckle fights that can only end in one way with a contestant s death
Dance with the Devil,To commemorate the 50th anniversary of the iconic Swedish group winning the Eurovision Song Contest.,15,to commemorate the th anniversary of the iconic swedish group winning the eurovision song contest
Baxti Tery,"Inspired by movies of Oscar nominated actress Sally Kirkland, a young writer moves to Hollywood to pursue his dreams. In a chance meeting with Sally, he begins a journey toward trying to resurrect her fading career.",36,inspired by movies of oscar nominated actress sally kirkland a young writer moves to hollywood to pursue his dreams in a chance meeting with sally he begins a journey toward trying to resurrect her fading career
Sihinayaki Adare,"Journey that delves deep into the complexities of friends. Set against the backdrop of a vibrant college festival, the movie explores the intricate dynamics between two friends whose paths diverge and ignite a fierce competition.",35,journey that delves deep into the complexities of friends set against the backdrop of a vibrant college festival the movie explores the intricate dynamics between two friends whose paths diverge and ignite a fierce competition
He Loves Me Not,"Émilie, a young student, works as a cam-girl at night to make ends meet. One evening, a mysterious drone appears at her apartment window. From then on, whenever Emilie is alone, the drone appears and follows her.",37,milie a young student works as a cam girl at night to make ends meet one evening a mysterious drone appears at her apartment window from then on whenever emilie is alone the drone appears and follows her
Nemlizade,"After winning the lottery, the happy winners see their lives change into a nightmare.",14,after winning the lottery the happy winners see their lives change into a nightmare
Bleeding,"In a peaceful battery goli, where everyone took an oath not to fight amongst themselves, chaos ensues as another Female hops into the scene.",24,in a peaceful battery goli where everyone took an oath not to fight amongst themselves chaos ensues as another female hops into the scene
Havnaa,"The Rise of OnlyFans is an illuminating documentary that provides a comprehensive exploration of the unprecedented growth and cultural impact of the groundbreaking platform, OnlyFans.",25,the rise of onlyfans is an illuminating documentary that provides a comprehensive exploration of the unprecedented growth and cultural impact of the groundbreaking platform onlyfans
Mani nude,"When Layla, a struggling Arab drag queen, falls in love for the first time, they lose and find themselves in a transformative relationship that tests who they really are.",29,when layla a struggling arab drag queen falls in love for the first time they lose and find themselves in a transformative relationship that tests who they really are
ABBA: Against the Odds,A man becomes a suspect in a serial murder case after waking from a coma with no recollection of who he is,22,a man becomes a suspect in a serial murder case after waking from a coma with no recollection of who he is
Sallywood,"A prominent lawyer grapples with ethical quandaries and intricate legal obstacles when attempting to rectify past errors, inadvertently impacting society on a larger scale.",24,a prominent lawyer grapples with ethical quandaries and intricate legal obstacles when attempting to rectify past errors inadvertently impacting society on a larger scale
Dange,What was at first a simple pursuit to regain stolen money becomes the chance for a dysfunctional family to finally reconcile.,21,what was at first a simple pursuit to regain stolen money becomes the chance for a dysfunctional family to finally reconcile
Drone,"The birth of the first 'dicksploitation' film. An anthology of horror stories which challenge censorship, moral authoritarianism, and the stigma around male cinematic nudity.",24,the birth of the first dicksploitation film an anthology of horror stories which challenge censorship moral authoritarianism and the stigma around male cinematic nudity
Lucky Winners,"Four college girls on a weekend getaway are hunted by a legendary ax murderer, until the hunter becomes the prey when one female turns out to be something otherworldly.",29,four college girls on a weekend getaway are hunted by a legendary ax murderer until the hunter becomes the prey when one female turns out to be something otherworldly
Female 4,"An exclusive behind-the-scenes look at the life of charismatic actor Sir Roger Moore, who redefined the role of James Bond.",20,an exclusive behind the scenes look at the life of charismatic actor sir roger moore who redefined the role of james bond
Rise of OnlyFans,"When September is suspended from their school, her sister July begins to assert her own independence. Tension in the family builds on holiday Ireland as a series of surreal encounters test the them all to their limit.",37,when september is suspended from their school her sister july begins to assert her own independence tension in the family builds on holiday ireland as a series of surreal encounters test the them all to their limit
Layla,"Experimental documentary about the exploration of intimacy, desire and diversity in queer sex-positive spaces.",14,experimental documentary about the exploration of intimacy desire and diversity in queer sex positive spaces
Chapel,"The film tells the story of Xiao Yan's struggle to rescue his friends and avenge his mother, and how he survives all the hardships, rises from the ashes, and returns with strength.",32,the film tells the story of xiao yan s struggle to rescue his friends and avenge his mother and how he survives all the hardships rises from the ashes and returns with strength
The Judgement,"An organisation that finds people who have been in prison for crimes they have not committed, in the United States. The organisation takes efforts to prove them innocent and get their due compensation from the government.",36,an organisation that finds people who have been in prison for crimes they have not committed in the united states the organisation takes efforts to prove them innocent and get their due compensation from the government
The Pleasure Is Mine,The dark fantasy love story of legendary Japanese photographer Masahisa Fukase and his wife Yoko.,15,the dark fantasy love story of legendary japanese photographer masahisa fukase and his wife yoko
Phallacies,Slashercise (TM) is not just a workout; it's a horror-fueled journey that invites fitness enthusiasts and horror fans alike to push their limits while embracing the thrill of the unknown.,30,slashercise tm is not just a workout it s a horror fueled journey that invites fitness enthusiasts and horror fans alike to push their limits while embracing the thrill of the unknown
Axes and Os,"The Prophet Joseph Smith is dead, killed by a mob. Enemies of the LDS Church think the church will die with Joseph. In fact that danger is a real possibility. The crisis is undeniable, and the saints in Nauvoo are in chaos.",42,the prophet joseph smith is dead killed by a mob enemies of the lds church think the church will die with joseph in fact that danger is a real possibility the crisis is undeniable and the saints in nauvoo are in chaos
From Roger Moore with Love,Emma and Eddie live two lives: one on social media and one in real life. The webcam couple is out to save their marriage by starting their own adult web-studio in Eastern Europe.,33,emma and eddie live two lives one on social media and one in real life the webcam couple is out to save their marriage by starting their own adult web studio in eastern europe
September Says,"Trapped on Mount Madyopuro because they violated a myth, Bagas, Lenni, Dicky, Juna and Andrew became suspicious of each other that one of them was a ghost.",27,trapped on mount madyopuro because they violated a myth bagas lenni dicky juna and andrew became suspicious of each other that one of them was a ghost
Truth or Dare,"Ex-cowboy war vet with PTSD meets hitchhiking singer/songwriter with trust issues. He shows her simpler life, they bond over inner demons. Develop relationship after finding commonalities in each other's struggles.",30,ex cowboy war vet with ptsd meets hitchhiking singer songwriter with trust issues he shows her simpler life they bond over inner demons develop relationship after finding commonalities in each other s struggles
Fights Break Sphere 3,UI transcends language barriers as it addresses a global issue.,10,ui transcends language barriers as it addresses a global issue
Finder,"Mona, a baker's daughter, feels trapped by her controlling father Adon. New employee Lina ignites Mona's desires. Adon has contrasting plans for Mona. Torn between duty and passion, Mona must decide her future path.",34,mona a baker s daughter feels trapped by her controlling father adon new employee lina ignites mona s desires adon has contrasting plans for mona torn between duty and passion mona must decide her future path
Ravens,"Neighbors prank each other, situation escalates comically amid NYC apartment complex's cutthroat politics, exploring absurdity of conflict between residents.",19,neighbors prank each other situation escalates comically amid nyc apartment complex s cutthroat politics exploring absurdity of conflict between residents
Slashercise,"During their annual vacation at an isolated beach, Ben and Vee unexpectedly encounter a mysterious backpacker who draws them into a twisted web of lies, deceit and ultimately, revenge.",29,during their annual vacation at an isolated beach ben and vee unexpectedly encounter a mysterious backpacker who draws them into a twisted web of lies deceit and ultimately revenge
Six Days in August,"A former pentathlete is captured by an undead countess and her cursed followers. To survive a deadly hunt, she must revive her athletic skills and form an uneasy alliance with a charming fisherman and a grumpy cop.",37,a former pentathlete is captured by an undead countess and her cursed followers to survive a deadly hunt she must revive her athletic skills and form an uneasy alliance with a charming fisherman and a grumpy cop
Emma and Eddie: A Working Couple,A married couple who share a love for cricket begin training in the game due to her natural talent.,19,a married couple who share a love for cricket begin training in the game due to her natural talent
Five Friends,"East of the Netherlands, 1960. Economy is booming, and the local textile-factories import workers from Italy. The integration of these Italians in the local community is not without difficulties. That's what 'Tegendraads' is about. Of course its plot also provides some love stories, some successful Italians, and a local girl breaking out to become a fashion-designer.",56,east of the netherlands economy is booming and the local textile factories import workers from italy the integration of these italians in the local community is not without difficulties that s what tegendraads is about of course its plot also provides some love stories some successful italians and a local girl breaking out to become a fashion designer
The Crossroads,"A dystopian comedy that takes place in the 2040's, where an apartment inhabited by three problematic bachelors soon becomes a haven for an extra-terrestrial female fugitive.",26,a dystopian comedy that takes place in the s where an apartment inhabited by three problematic bachelors soon becomes a haven for an extra terrestrial female fugitive
UI,"A paranormal psych student's ritual candle starts a deadly game of twenty questions. As wax drips away, she races to survive, learning some mysteries should stay buried.",27,a paranormal psych student s ritual candle starts a deadly game of twenty questions as wax drips away she races to survive learning some mysteries should stay buried
Slime,"Frankie, a young mother with dyschronometria, struggles to perceive time. Using cassette tapes for guidance, she takes a risky job from a mysterious woman to support her family, unaware of the dark consequences that await.",35,frankie a young mother with dyschronometria struggles to perceive time using cassette tapes for guidance she takes a risky job from a mysterious woman to support her family unaware of the dark consequences that await
Run Away,"Set in a 1970s sweat-drenched world of tent boxing in outback Western Australia, Kid Snow is a film about breaking free from the cycle of loss and regret.",28,set in a s sweat drenched world of tent boxing in outback western australia kid snow is a film about breaking free from the cycle of loss and regret
The French Italian,"Goro Inogashira travels all over Japan for work. Upon receiving a message from an old friend's daughter, Goro arrives in Paris and learns of the elderly man's wish to taste a particular soup he had in his childhood before he dies.",41,goro inogashira travels all over japan for work upon receiving a message from an old friend s daughter goro arrives in paris and learns of the elderly man s wish to taste a particular soup he had in his childhood before he dies
13th Summer,A journalist and his female companion travel to interview a famous musician in Rome where a generous invite to a country estate becomes something much more than anyone expected.,29,a journalist and his female companion travel to interview a famous musician in rome where a generous invite to a country estate becomes something much more than anyone expected
The Bitter Taste,"Ramiro meets Damián again after years without seeing each other. Damián always has some shady business going on. This time he wants to go in a search of a certain treasure hidden in an abandoned convent. Lara, Ramiro's girlfriend, doesn't trust Damián and decides to accompany them. What they don't know is that taking that thing from there could unleash a course that will haunt them forever, unless they return it just as they found it.",76,ramiro meets dami n again after years without seeing each other dami n always has some shady business going on this time he wants to go in a search of a certain treasure hidden in an abandoned convent lara ramiro s girlfriend doesn t trust dami n and decides to accompany them what they don t know is that taking that thing from there could unleash a course that will haunt them forever unless they return it just as they found it
Challenger,"Izzy's father's health fails. She suspects her stepmother and stepsister want his wealth. She uncovers embezzlement, corruption in the family business. Someone is willing to kill to protect secrets, putting Izzy's life at risk.",34,izzy s father s health fails she suspects her stepmother and stepsister want his wealth she uncovers embezzlement corruption in the family business someone is willing to kill to protect secrets putting izzy s life at risk
Mr. & Mrs. Mahi,"Tom Brady faces the heat in this livestreamed, star-studded roast hosted by Kevin Hart.",14,tom brady faces the heat in this livestreamed star studded roast hosted by kevin hart
Tegendraads,"A bitter-aged man reluctantly drives to Spain to pay a last visit to a dying friend, along with his wife who's suffering from dementia. But as their journey unfolds, he slowly starts to soften up and rediscovers the meaning of love.",41,a bitter aged man reluctantly drives to spain to pay a last visit to a dying friend along with his wife who s suffering from dementia but as their journey unfolds he slowly starts to soften up and rediscovers the meaning of love
Gaganachari,An American cycling team trains at a remote European lodge. Teammates start dying mysteriously. Rivals Connor and Greg battle to survive and uncover the cause behind the team's demise.,29,an american cycling team trains at a remote european lodge teammates start dying mysteriously rivals connor and greg battle to survive and uncover the cause behind the team s demise
Are You There?,Follows Dr. Keerthy as she receives a case at a medical college that unfolds something that she was not expecting.,20,follows dr keerthy as she receives a case at a medical college that unfolds something that she was not expecting
Gazer,"During a Ganesh Chaturthi celebration, small-time thief Ganesh attempts a major heist that goes awry, leading to a comical clash with Rudra and his boss Kishore Reddy, who are also searching for a valuable item amidst the festive chaos.",39,during a ganesh chaturthi celebration small time thief ganesh attempts a major heist that goes awry leading to a comical clash with rudra and his boss kishore reddy who are also searching for a valuable item amidst the festive chaos
Kid Snow,"A disillusioned actor turns into a feared mass rowdy, using his power to dismantle corrupt systems amid societal conflicts.",19,a disillusioned actor turns into a feared mass rowdy using his power to dismantle corrupt systems amid societal conflicts
The Solitary Gourmet,Who is infected? Who is the AI killer among them? A group of stranded teenagers must discover the meaning of being human in order to save the world and be back home in time for tea.,36,who is infected who is the ai killer among them a group of stranded teenagers must discover the meaning of being human in order to save the world and be back home in time for tea
Electra,"A no-budget indie feature told in three parts: Before, during, and after a zombie apocalypse. Interlopers depicts a changing world in the face of a 'biological revolution'.",27,a no budget indie feature told in three parts before during and after a zombie apocalypse interlopers depicts a changing world in the face of a biological revolution
Oro Negro,"Lilia Capistrano seeks revenge on billionaire Guilly Vega for killing her daughter. Disguised as Eva Candelaria, she attends his party with a vengeful plan.",24,lilia capistrano seeks revenge on billionaire guilly vega for killing her daughter disguised as eva candelaria she attends his party with a vengeful plan
Stepmom from Hell,"A 100+ year-old story of the legendary rebel, the famous Punjab da Kissa, Sucha Soorma!",15,a year old story of the legendary rebel the famous punjab da kissa sucha soorma
The Roast of Tom Brady,"Centers on families of the victims of the 2012 Sandy Hook shooting. They take Alex Jones, a conspiracy theorist, to court for spreading lies about the event being a hoax.",30,centers on families of the victims of the sandy hook shooting they take alex jones a conspiracy theorist to court for spreading lies about the event being a hoax
Memory Lane,"When the world around him is mysteriously erased, a little green dinosaur travels through the pages of a comic book to bring color back to his home.",27,when the world around him is mysteriously erased a little green dinosaur travels through the pages of a comic book to bring color back to his home
Trapped Inn,"Teresa, 42, changes her vacation plans to spend the summer with her mother, Ani. The forced coexistence of living together after so many years brings tension as well as revealing moments for the two women accustomed to living alone.",39,teresa changes her vacation plans to spend the summer with her mother ani the forced coexistence of living together after so many years brings tension as well as revealing moments for the two women accustomed to living alone
Hunt,"Lost 16mm reels documenting Tom Petty and the Heartbreakers' 1982-1983 'Long After Dark' album cycle, including footage originally aired on MTV in 1983.",23,lost mm reels documenting tom petty and the heartbreakers long after dark album cycle including footage originally aired on mtv in
Gam Gam Ganesha,"Driven by deep concern for their fragile daughter, her parents subject her boyfriend to shockingly intense and brutal tests, pushing the boundaries of his love to its absolute limits.",29,driven by deep concern for their fragile daughter her parents subject her boyfriend to shockingly intense and brutal tests pushing the boundaries of his love to its absolute limits
Ronny - The ruler,"College sweethearts Sid and Anahita's enduring romance spans decades, weathering life's ups and downs with unwavering love and cherished memories.",20,college sweethearts sid and anahita s enduring romance spans decades weathering life s ups and downs with unwavering love and cherished memories
Bad Things,"A tribute to a young artist of unlimited raw talent and the deep, creative relationships she has with her mentors and influences.",22,a tribute to a young artist of unlimited raw talent and the deep creative relationships she has with her mentors and influences
Interlopers,"A longtime family-owned business gets pressured to sell to gentrify the neighborhood until a local loving mobster concocts a crazy plan to save the day, clearing the way for two people searching for love to find their everlasting.",38,a longtime family owned business gets pressured to sell to gentrify the neighborhood until a local loving mobster concocts a crazy plan to save the day clearing the way for two people searching for love to find their everlasting
Uninvited,"ACP Avinash Verma (Manoj Bajpayee) and his SCU are called upon by the Commissioner of Police to investigate a mass shoot-out at the Night Owl Bar in Mumbai. Layers begin to peel at something bigger, deeper, and darker at play.",40,acp avinash verma manoj bajpayee and his scu are called upon by the commissioner of police to investigate a mass shoot out at the night owl bar in mumbai layers begin to peel at something bigger deeper and darker at play
Sucha Soorma,Meet Babydoll. She's desperate to spend her birthday with the man she loves. It just so happens that he's also her boss.,22,meet babydoll she s desperate to spend her birthday with the man she loves it just so happens that he s also her boss
The Truth vs. Alex Jones,"A tenacious investigator unravels a global crypto scam, revealing the psychology behind its enduring appeal even after exposure.",18,a tenacious investigator unravels a global crypto scam revealing the psychology behind its enduring appeal even after exposure
The Green Dinosaur,Jack Whitehall races against time to get from the US to the UK for Christmas. His frantic four-day journey involves various modes of transport and encounters with celebrity friends as he battles holiday chaos to reach home.,37,jack whitehall races against time to get from the us to the uk for christmas his frantic four day journey involves various modes of transport and encounters with celebrity friends as he battles holiday chaos to reach home
Los pequeños amores,"Two young skaters, polar opposites in personality, team up to train for a figure skating duo, their growing bond blurring the lines between partners and more as winter unfolds.",29,two young skaters polar opposites in personality team up to train for a figure skating duo their growing bond blurring the lines between partners and more as winter unfolds
Tom Petty: Heartbreakers Beach Party,A family living in the Jura mountains is torn apart following the return of the son's biological father.,18,a family living in the jura mountains is torn apart following the return of the son s biological father
Buzzheart,"Follows nine-year-old Oscar, a non-verbal child who struggles to fit in, as he meets Eric, a kind repair shop owner, and become unlikely friends after being brought together by a damaged film format camera.",34,follows nine year old oscar a non verbal child who struggles to fit in as he meets eric a kind repair shop owner and become unlikely friends after being brought together by a damaged film format camera
Ibbani Tabbida Ileyali,"In the 1990s post-communist Slovakia, former woods worker Miki takes his chances to start doing business at a local level and climb up the ladder to become the biggest mafia boss in the country.",34,in the s post communist slovakia former woods worker miki takes his chances to start doing business at a local level and climb up the ladder to become the biggest mafia boss in the country
Liza: A Truly Terrific Absolutely True Story,"US officials simulate a coup post a disputed election. Insurgents take capitals, questioning the president's military control. Countering disinformation is vital, highlighting bipartisan defense of democracy.",26,us officials simulate a coup post a disputed election insurgents take capitals questioning the president s military control countering disinformation is vital highlighting bipartisan defense of democracy
A Brooklyn Love Story,"In one apartment, nine human conditions experience a contained life as they make the world their own.",17,in one apartment nine human conditions experience a contained life as they make the world their own
Silence 2: The Night Owl Bar Shootout,"Sophia, who has been married for a long time with Xavier, invites their young upstairs neighbors to dinner. As the ice is broken, the evening unfolds with a cascade of revelations, laying bare the intricacies of relationships.",37,sophia who has been married for a long time with xavier invites their young upstairs neighbors to dinner as the ice is broken the evening unfolds with a cascade of revelations laying bare the intricacies of relationships
Babydoll,"Comic satire of Balkan film industry that shines light on questionable relationships, unstable personalities and the thin line between fulfillment and sucess.",22,comic satire of balkan film industry that shines light on questionable relationships unstable personalities and the thin line between fulfillment and sucess
Lie to Me,"In Granbury, TX, firefighter Jack Gilmore makes holiday memories with his son and not knowingly shares a final kiss with his wife. But when a runaway teen's car hits his wife's car, Jack grapples with his faith and the idea of forgiveness.",42,in granbury tx firefighter jack gilmore makes holiday memories with his son and not knowingly shares a final kiss with his wife but when a runaway teen s car hits his wife s car jack grapples with his faith and the idea of forgiveness
Jack in Time for Christmas,"Gao Haojun, an international security expert, is hijacked by gunmen on the first flight of A380 airliner, and his blind daughter is one of the undercover hostages, a fact that he doesn't know.",33,gao haojun an international security expert is hijacked by gunmen on the first flight of a airliner and his blind daughter is one of the undercover hostages a fact that he doesn t know
My Sunshine,"A supernatural thriller in which a hitman, facing an existential crisis, decides to exit the game and leave town with the woman he loves, but his plans are disrupted by a mysterious young man and his ruthless former boss.",39,a supernatural thriller in which a hitman facing an existential crisis decides to exit the game and leave town with the woman he loves but his plans are disrupted by a mysterious young man and his ruthless former boss
Jim's Story,"Heartbroken and spiraling into alcoholism, a jilted lover desperately pursues his former muse, unwilling to accept their relationship's end.",19,heartbroken and spiraling into alcoholism a jilted lover desperately pursues his former muse unwilling to accept their relationship s end
Camera,"Accused of a brutal murder, Kaburagi escapes and goes on the run across Japan. Detective Matanuki pursues him, but after 488 days missing, Kaburagi's true identity and motives remain a mystery.",31,accused of a brutal murder kaburagi escapes and goes on the run across japan detective matanuki pursues him but after days missing kaburagi s true identity and motives remain a mystery
